libid	batch	phylum	countgroup	taxon	taxid	sample_number	locality_number	sample_provider	n_specimens	reads_avg_seq	reads_max_seq	reads_median_seq	reads_min_seq	reads_N_50	reads_total_n	reads_total_seq	perc_reads_human	bag	n_contigs	largest_contig	total_length	GC_perc	N50	N75	L50	L75	busco_lineage	busco_perc_C	busco_perc_S	busco_perc_D	busco_perc_F	busco_perc_M	busco_set_size	mode_cov_dist	mapped_bases	genome_size_est	co1_length	co1_Superkingdom	co1_Kingdom	co1_Phylum	co1_Class	co1_Order	co1_Genus	co1_Species	lineage
P1_246	b2	Arthropoda	Oribatida	Acrotritia duplicata	1979925					106.17	150	103	50	127	340318	36132936	3.69	bag1	31	3631	31904	38.4	1124	798	10	18	arachnida_odb10	0	0	0	0	100	2934	2	987797	493898.5									Acrotritia;Euphthiracaridae;Euphthiracaroidea;Mixonomata;Oribatida;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P3_141	b1	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818	mit_ECT_180815_12		ECT		126.89	150	150	50	150	6435716	816658371	0.94	bag2	41125	25890	76381167	46.3	2502	1401	8955	19177	arachnida_odb10	77.7	76.3	1.4	6.7	15.6	2934	6	777627926	129604654.3	664	Eukaryota	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae	Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_246	b2	Arthropoda	Oribatida	Acrotritia duplicata	1979925					106.17	150	103	50	127	340318	36132936	3.69	bag3	373	9040	371114	37.3	1006	690	102	214	arachnida_odb10	0	0	0	0	100	2934	1	31286330	31286330									Acrotritia;Euphthiracaridae;Euphthiracaroidea;Mixonomata;Oribatida;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_254	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114					127.97	150	150	50	150	2118627	271115078	0.22	bag1	3613	14771	3141966	39.58	837	627	1106	2204	arthropoda_odb10	0.6	0.6	0	1	98.4	1013	2	27568096	13784048	491	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Folsomia	Folsomia fimetaria L1	Folsomia;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P3_146	b1	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818	mit_ECT_180815_12		ECT		129.08	150	150	50	150	10061158	1298675759	0.79	bag2	18376	100676	82696430	45.8	8884	3979	2441	5943	arachnida_odb10	91.3	88.9	2.4	2	6.7	2934	11	1227972733	111633884.8	665	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Gallus	Gallus gallus	Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_254	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114					127.97	150	150	50	150	2118627	271115078	0.22	bag3	23540	14771	18837673	37.24	762	600	7872	14901	arthropoda_odb10	0.6	0.6	0	1	98.4	1013	2	192899176	96449588	491	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Folsomia	Folsomia fimetaria L1	Folsomia;Proisotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_264	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	CS-330	Clément Schneider		102.49	150	97	50	119	1982642	203192246	1.84	bag1	204	4108	209655	37.59	1049	735	57	117	arthropoda_odb10	0	0	0	0.1	99.9	1013	2	13916073	6958036.5	337	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Folsomia	uncultured eukaryote	Pseudisotoma;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P4_106	b1	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818	mit_ECT_180815_12		ECT		132.25	150	150	50	150	2919800	386155326	2.04	bag2	42109	14181	38371866	49.47	933	680	13476	25619	arachnida_odb10	38.5	37.6	0.9	12.6	48.9	2934	2	326347514	163173757	664	Eukaryota	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae	Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_264	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	CS-330	Clément Schneider		102.49	150	97	50	119	1982642	203192246	1.84	bag3	2208	5314	1827609	33.78	808	616	727	1379	arthropoda_odb10	0	0	0	0.1	99.9	1013	1	178615374	178615374	337	Eukaryota	Metazoa	Arthropoda	Collembola	Entomobryomorpha	Folsomia	uncultured eukaryote	Pseudisotoma;Isotominae;Isotomidae;Isotomoidea;Entomobryomorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_266	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144					106.24	150	103	50	124	1247097	132491375	3.76	bag1	18	2028	18357	44.18	1251	790	6	11								1	1180078	1180078	607	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus sp. Driefontein B	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P5_118	b2	Chordata	Aves	Gallus gallus	9031					139	150	150	50	150	2174831	302296996	1.17	bag2	3165	20202	2408629	47.23	639	544	972	2007	aves_odb10	0	0	0	0.3	99.7	8338	1	122601793	122601793	665	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Gallus	Gallus gallus	Gallus;Phasianinae;Phasianidae;Galliformes;Galloanserae;Neognathae;Aves;Coelurosauria;Theropoda;Saurischia;Dinosauria;Archosauria;Archelosauria;Sauria;Sauropsida;Amniota;Tetrapoda;Dipnotetrapodomorpha;Sarcopterygii;Euteleostomi;Teleostomi;Gnathostomata;Vertebrata;Craniata;Chordata;Deuterostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_266	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144					106.24	150	103	50	124	1247097	132491375	3.76	bag3	1632	2957	1209809	35.82	706	582	594	1068	metazoa_odb10	0	0	0	0	100	954	1	64029067	64029067	607	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus sp. Driefontein B	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_271	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144					125.35	150	142	50	150	2194333	275068088	2.23	bag1	31	2528	30341	42.67	1179	644	8	18	metazoa_odb10	0	0	0	0	100	954	2	6603599	3301799.5	338	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	uncultured eukaryote	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P5_134	b2	Chordata	Aves	Gallus gallus	9031					133	150	150	50	150	2855240	379745631	1.39	bag2	3777	20972	2814542	46.55	633	545	1217	2425	aves_odb10	0	0	0	0.2	99.8	8338	1	156981868	156981868	665	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Gallus	Gallus gallus	Gallus;Phasianinae;Phasianidae;Galliformes;Galloanserae;Neognathae;Aves;Coelurosauria;Theropoda;Saurischia;Dinosauria;Archosauria;Archelosauria;Sauria;Sauropsida;Amniota;Tetrapoda;Dipnotetrapodomorpha;Sarcopterygii;Euteleostomi;Teleostomi;Gnathostomata;Vertebrata;Craniata;Chordata;Deuterostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_271	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144					125.35	150	142	50	150	2194333	275068088	2.23	bag3	2554	8860	2372545	35.75	949	621	678	1473	metazoa_odb10	0	0	0	0	100	954	1	132483207	132483207	338	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	uncultured eukaryote	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_273	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144					125.96	150	149	50	150	1367572	172255381	3.12	bag1	11	1670	8888	41.48	738	602	4	7								1	1124001	1124001	570	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus albellus	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P5_190	b2	Chordata	Aves	Gallus gallus	9031					136.58	150	150	50	150	2332204	318540901	1.49	bag2	3106	17946	2399714	47.37	648	548	937	1957	aves_odb10	0	0	0	0.1	99.9	8338	1	133815209	133815209	665	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Gallus	Gallus gallus	Gallus;Phasianinae;Phasianidae;Galliformes;Galloanserae;Neognathae;Aves;Coelurosauria;Theropoda;Saurischia;Dinosauria;Archosauria;Archelosauria;Sauria;Sauropsida;Amniota;Tetrapoda;Dipnotetrapodomorpha;Sarcopterygii;Euteleostomi;Teleostomi;Gnathostomata;Vertebrata;Craniata;Chordata;Deuterostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_273	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144					125.96	150	149	50	150	1367572	172255381	3.12	bag3	1653	8241	1567360	35.13	980	642	450	950	metazoa_odb10	0	0	0	0	100	954	1	81618506	81618506	570	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus albellus	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_281	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390					122.67	150	138	50	150	1843570	226141624	2.9	bag1	11	8401	26103	35.99	6696	1554	2	4	metazoa_odb10	0	0	0	0	100	954	1	1157646	1157646	684	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus albidus	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_102	b1	Chordata	Aves	Gallus gallus	9031	PC_02				136.92	150	150	50	150	8600112	1177495022	1.33	bag2	86214	21392	57168981	41.02	634	555	34825	59019	aves_odb10	0.1	0.1	0	1	98.9	8338	1	745533404	745533404	665	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Gallus	Gallus gallus	Gallus;Phasianinae;Phasianidae;Galliformes;Galloanserae;Neognathae;Aves;Coelurosauria;Theropoda;Saurischia;Dinosauria;Archosauria;Archelosauria;Sauria;Sauropsida;Amniota;Tetrapoda;Dipnotetrapodomorpha;Sarcopterygii;Euteleostomi;Teleostomi;Gnathostomata;Vertebrata;Craniata;Chordata;Deuterostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_281	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390					122.67	150	138	50	150	1843570	226141624	2.9	bag3	2306	8401	2364624	38.98	1101	670	556	1260	metazoa_odb10	0.1	0.1	0	0	99.9	954	1	127158298	127158298	684	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus albidus	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_282	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390					125.47	150	150	50	150	2259261	283462846	2.03	bag1	27	15162	46321	38.59	2056	1533	5	12	metazoa_odb10	0	0	0	0	100	954	2	5350071	2675035.5	684	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus albidus	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_150	b1	Chordata	Aves	Gallus gallus	9031	PC_05				138.98	150	150	50	150	12099360	1681608311	0.95	bag2	209694	16244	149687835	41.7	696	582	81092	140139	aves_odb10	0.5	0.5	0	2.8	96.7	8338	2	1230435504	615217752	665	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Gallus	Gallus gallus	Gallus;Phasianinae;Phasianidae;Galliformes;Galloanserae;Neognathae;Aves;Coelurosauria;Theropoda;Saurischia;Dinosauria;Archosauria;Archelosauria;Sauria;Sauropsida;Amniota;Tetrapoda;Dipnotetrapodomorpha;Sarcopterygii;Euteleostomi;Teleostomi;Gnathostomata;Vertebrata;Craniata;Chordata;Deuterostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_282	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390					125.47	150	150	50	150	2259261	283462846	2.03	bag3	3531	15162	4127849	38.23	1335	805	876	1893								1	214153068	214153068	684	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus albidus	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_283	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645					120.64	150	132	50	150	1777480	214431338	7.12	bag1	125	7533	150575	39.41	1282	888	35	70	metazoa_odb10	0	0	0	0	100	954	2	17802554	8901277	673	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus moebii	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_190	b1	Chordata	Aves	Gallus gallus	9031	PC_07				133.24	150	150	50	150	21356	2845419	13.43	bag2	4	831	2506	50.24	647	528	2	3	aves_odb10	0	0	0	0	100	8338	1	403073	403073									Gallus;Phasianinae;Phasianidae;Galliformes;Galloanserae;Neognathae;Aves;Coelurosauria;Theropoda;Saurischia;Dinosauria;Archosauria;Archelosauria;Sauria;Sauropsida;Amniota;Tetrapoda;Dipnotetrapodomorpha;Sarcopterygii;Euteleostomi;Teleostomi;Gnathostomata;Vertebrata;Craniata;Chordata;Deuterostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_283	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645					120.64	150	132	50	150	1777480	214431338	7.12	bag3	3654	7533	3090586	38.18	837	609	1142	2240	metazoa_odb10	0	0	0	0	100	954	1	120497102	120497102	673	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus moebii	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_284	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645					118.79	150	127	50	150	1499277	178101796	8.23	bag1	79	5764	98273	39.39	1473	817	18	40	metazoa_odb10	0	0	0	0	100	954	2	12207000	6103500	673	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus moebii	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_221	b1	Chordata	Aves	Gallus gallus	9031	PC_08				136.62	150	150	50	150	9658210	1319522856	1.48	bag2	109381	16521	73837963	41.34	648	561	43702	74432	aves_odb10	0.2	0.2	0	1.3	98.5	8338	1	861296595	861296595	665	Eukaryota	Metazoa	Chordata	Aves	Galliformes	Gallus	Gallus gallus	Gallus;Phasianinae;Phasianidae;Galliformes;Galloanserae;Neognathae;Aves;Coelurosauria;Theropoda;Saurischia;Dinosauria;Archosauria;Archelosauria;Sauria;Sauropsida;Amniota;Tetrapoda;Dipnotetrapodomorpha;Sarcopterygii;Euteleostomi;Teleostomi;Gnathostomata;Vertebrata;Craniata;Chordata;Deuterostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_284	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645					118.79	150	127	50	150	1499277	178101796	8.23	bag3	2154	5764	1779186	38	779	579	645	1322	metazoa_odb10	0	0	0	0.1	99.9	954	1	84009661	84009661	673	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeus	Enchytraeus moebii	Enchytraeus;Enchytraeidae;Enchytraeida;Oligochaeta;Clitellata;Annelida;Lophotrochozoa;Spiralia;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_11	b9	Arthropoda	Chilopoda	Lithobius calcaratus	1147026	Gr-Myr-00687		Görlitz		143.73	150	150	50	150	76143957	10944396016	0.23	bag2	452229	49167	398249148	41.27	881	643	141581	275039	arthropoda_odb10	1.2	1	0.2	2.2	96.6	1013	2	9419214334	4709607167	681	Eukaryota	Metazoa	Arthropoda	Chilopoda	Lithobiomorpha	Lithobius	Lithobius calcaratus	Lithobius;Lithobiidae;Lithobiomorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_287	b2	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818					127.09	150	150	50	150	2023315	257151579	11.13	bag3	1022	8356	835469	38.89	777	603	334	640	arachnida_odb10	0.2	0.2	0	0	99.8	2934	2	248954621	124477310.5									Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_291	b2	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818					124.7	150	140	50	150	1408075	175593104	20.91	bag1	7	774	4379	43.46	613	560	4	5	arachnida_odb10	0	0	0	0	100	2934	1	327484	327484									Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
a_17	b9	Arthropoda	Chilopoda	Cryptops parisi	173049	Gr-Myr-00693		Görlitz		144.76	150	150	50	150	71715095	10381651377	1.26	bag2	45262	184042	321085688	34.41	15344	6816	5489	13354	arthropoda_odb10	86.5	85.7	0.8	5.9	7.6	1013				682	Eukaryota	Metazoa	Arthropoda	Chilopoda	Scolopendromorpha	Cryptops	Cryptops parisi	Cryptops;Cryptopidae;Scolopendromorpha;Epimorpha;Pleurostigmophora;Chilopoda;Myriapoda;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
