libid	batch	phylum	countgroup	taxon	taxid	sample_number	Reads avg. seq:	Reads max seq:	Reads median seq:	Reads min seq:	Reads N 50:	Reads total n:	Reads total seq:	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	bag	perc_reads_human	busco_lineage	Busco % C	Busco % S	Busco % D	Busco % F	Busco % M	Busco set size	mode_cov_dist	mapped_bases	genome_size_est	co1_Order	co1_Genus	co1_Species
P2_222	b2	Arthropoda	Collembola	Podura aquatica	50589		107.28	150	105	50	123	4446537	477026555	1458	16118	1186889	34.89	772	617	488	921	bag1	4.58	arthropoda_odb10	0	0	0	0	100	1013	4	44802932	11200733	Poduromorpha	Podura	Podura aquatica
P2_222	b2	Arthropoda	Collembola	Podura aquatica	50589		107.28	150	105	50	123	4446537	477026555	18969	16118	13469780	29.33	680	572	7224	12654	bag2	4.58	arthropoda_odb10	0.1	0.1	0	0.1	99.8	1013	2	352980107	176490053.5	Poduromorpha	Podura	Podura aquatica
P2_222	b2	Arthropoda	Collembola	Podura aquatica	50589		107.28	150	105	50	123	4446537	477026555	19025	16118	13512605	29.35	680	573	7245	12690	bag3	4.58	arthropoda_odb10	0.1	0.1	0	0.1	99.8	1013	2	353611165	176805582.5	Poduromorpha	Podura	Podura aquatica
P2_227	b2	Arthropoda	Collembola	Podura aquatica	50589		109.11	150	108	50	125	4323966	471766757	1638	16119	1319123	34.81	770	615	556	1040	bag1	5.93	arthropoda_odb10	0	0	0	0.1	99.9	1013	4	43227132	10806783	Poduromorpha	Podura	Podura aquatica
P2_227	b2	Arthropoda	Collembola	Podura aquatica	50589		109.11	150	108	50	125	4323966	471766757	20373	16119	14519906	29.33	683	573	7738	13571	bag2	5.93	arthropoda_odb10	0	0	0	0.3	99.7	1013	2	341543471	170771735.5	Poduromorpha	Podura	Podura aquatica
P2_227	b2	Arthropoda	Collembola	Podura aquatica	50589		109.11	150	108	50	125	4323966	471766757	20453	16119	14582661	29.38	683	574	7765	13623	bag3	5.93	arthropoda_odb10	0	0	0	0.3	99.7	1013	2	342646376	171323188	Poduromorpha	Podura	Podura aquatica
P2_248	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		108.8	150	107	50	126	4738725	515583520	674	13455	709980	39.15	1101	693	157	367	bag1	4.94	arachnida_odb10	0.1	0.1	0	0.2	99.7	2934	2	60755988	30377994	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P2_248	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		108.8	150	107	50	126	4738725	515583520	6130	13455	4859262	37.44	741	583	1994	3870	bag2	4.94	arachnida_odb10	0.2	0.2	0	0.3	99.5	2934	2	402670457	201335228.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P2_248	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		108.8	150	107	50	126	4738725	515583520	6190	13455	4922145	37.43	743	583	2005	3901	bag3	4.94	arachnida_odb10	0.2	0.2	0	0.3	99.5	2934	2	403826760	201913380	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P2_251	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		111.07	150	111	50	132	2164960	240469314	1825	8971	1434430	40.81	747	595	622	1166	bag1	0.28	arthropoda_odb10	0.1	0.1	0	0.4	99.5	1013	2	17730049	8865024.5	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P2_251	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		111.07	150	111	50	132	2164960	240469314	11933	8971	8414342	38.36	670	566	4531	7969	bag2	0.28	arthropoda_odb10	0.1	0.1	0	0.9	99	1013	2	139974695	69987347.5	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P2_251	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		111.07	150	111	50	132	2164960	240469314	11939	8971	8418267	38.36	670	567	4534	7973	bag3	0.28	arthropoda_odb10	0.1	0.1	0	0.9	99	1013	2	140045994	70022997	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P2_255	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		111.02	150	112	50	134	1130872	125550327	516	10104	405983	41	738	570	169	327	bag1	4.2	arthropoda_odb10	0	0	0	0.2	99.8	1013	2	5313193	2656596.5	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P2_255	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		111.02	150	112	50	134	1130872	125550327	3449	10104	2314749	38.94	632	551	1357	2343	bag2	4.2	arthropoda_odb10	0	0	0	0.2	99.8	1013	2	53773574	26886787	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P2_255	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		111.02	150	112	50	134	1130872	125550327	3451	10104	2315880	38.94	632	551	1358	2345	bag3	4.2	arthropoda_odb10	0	0	0	0.2	99.8	1013	2	53785122	26892561	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P2_261	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	106.74	150	104	50	122	3978833	424689886	1723	15321	1357938	38.07	751	604	597	1104	bag1	1.93	arthropoda_odb10	0.1	0.1	0	0.4	99.5	1013	2	22705402	11352701	Entomobryomorpha	Isotomidae-undef	Vertagopus arboreus
P2_261	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	106.74	150	104	50	122	3978833	424689886	19732	15321	13631388	34.2	660	564	7685	13295	bag2	1.93	arthropoda_odb10	0.1	0.1	0	0.5	99.4	1013	2	272985432	136492716	Entomobryomorpha	Isotomidae-undef	Vertagopus arboreus
P2_261	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	106.74	150	104	50	122	3978833	424689886	19758	15321	13656381	34.21	660	565	7691	13310	bag3	1.93	arthropoda_odb10	0.1	0.1	0	0.5	99.4	1013	2	273291048	136645524	Entomobryomorpha	Isotomidae-undef	Vertagopus arboreus
P2_263	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	111.98	150	113	50	131	4061995	454871982	1423	8186	1275501	36.68	870	640	428	860	bag1	3.33	arthropoda_odb10	0.2	0.2	0	0.4	99.4	1013	2	34251176	17125588	Entomobryomorpha	Isotomidae-undef	Isotomidae sp. DPCOL101069
P2_263	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	111.98	150	113	50	131	4061995	454871982	22023	8186	16542605	33.03	720	585	7924	14347	bag2	3.33	arthropoda_odb10	0.3	0.3	0	0.6	99.1	1013	2	316454218	158227109	Entomobryomorpha	Isotomidae-undef	Isotomidae sp. DPCOL101069
P2_263	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	111.98	150	113	50	131	4061995	454871982	22052	8186	16575114	33.04	720	585	7927	14361	bag3	3.33	arthropoda_odb10	0.3	0.3	0	0.6	99.1	1013	2	316800323	158400161.5	Entomobryomorpha	Isotomidae-undef	Isotomidae sp. DPCOL101069
P2_307	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		114.15	150	117	50	137	3817158	435728556	73	5173	54901	44.23	665	561	25	47	bag1	32.33	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	1	2389419	2389419	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae
P2_307	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		114.15	150	117	50	137	3817158	435728556	2978	5173	2159117	42.78	686	570	1096	1963	bag2	32.33	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	1	52218229	52218229	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae
P2_307	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		114.15	150	117	50	137	3817158	435728556	6904	23166	12494007	39.08	3624	1191	935	2437	bag3	32.33	arachnida_odb10	16.9	16.2	0.7	1	82.1	2934	1	359513268	359513268	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae
P2_Con1	b2						120.33	150	132	50	150	4087236	491832943	15	22929	69384	51.14	22705	4948	2	4	bag3	0.01								1	488893913	488893913			
P3_222	b2	Arthropoda	Collembola	Podura aquatica	50589																															
P3_227	b2	Arthropoda	Collembola	Podura aquatica	50589																															
P3_233	b2	Arthropoda	Acari	Hypochthonius rufulus	66581																															
P3_235	b2	Arthropoda	Acari	Hypochthonius rufulus	66581																															
P3_244	b2	Arthropoda	Acari	Acrotritia duplicata	1979925																															
P3_248	b2	Arthropoda	Acari	Acrotritia duplicata	1979925																															
P3_251	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114																															
P3_255	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114																															
P3_261	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330																														
P3_263	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330																														
P3_309_w	b2	Annelida	Lumbricina	Aporrectodea caliginosa	302032																															
P4_222_2	b2	Arthropoda	Collembola	Podura aquatica	50589																															
P4_227_2	b2	Arthropoda	Collembola	Podura aquatica	50589																															
P4_235_2	b2	Arthropoda	Acari	Hypochthonius rufulus	66581																															
P4_244_2	b2	Arthropoda	Acari	Acrotritia duplicata	1979925																															
P4_248_2	b2	Arthropoda	Acari	Acrotritia duplicata	1979925																															
P4_251_2	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114																															
P4_255_2	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114																															
P4_261_2	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330																														
P4_263_2	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330																														
P4_309_w2	b2	Annelida	Lumbricina	Aporrectodea caliginosa	302032																															
P4_309_w8	b2	Annelida	Lumbricina	Aporrectodea caliginosa	302032																															
P5_118	b2	Chordata	Aves	Gallus gallus	9031		139	150	150	50	150	2174831	302296996	2278	20202	1893456	48.24	719	557	612	1378	bag1	1.17	aves_odb10	0	0	0	0.3	99.7	8338	1	76431966	76431966	Galliformes	Gallus	Gallus gallus
P5_118	b2	Chordata	Aves	Gallus gallus	9031		139	150	150	50	150	2174831	302296996	3165	20202	2408629	47.23	639	544	972	2007	bag2	1.17	aves_odb10	0	0	0	0.3	99.7	8338	1	122601793	122601793	Galliformes	Gallus	Gallus gallus
P5_118	b2	Chordata	Aves	Gallus gallus	9031		139	150	150	50	150	2174831	302296996	3180	20202	2422528	47.24	640	544	975	2015	bag3	1.17	aves_odb10	0	0	0	0.3	99.7	8338	1	122790777	122790777	Galliformes	Gallus	Gallus gallus
P5_134	b2	Chordata	Aves	Gallus gallus	9031		133	150	150	50	150	2855240	379745631	2629	20972	2139049	47.5	699	560	742	1614	bag1	1.39	aves_odb10	0	0	0	0.2	99.8	8338	1	103285478	103285478	Galliformes	Gallus	Gallus gallus
P5_134	b2	Chordata	Aves	Gallus gallus	9031		133	150	150	50	150	2855240	379745631	3777	20972	2814542	46.55	633	545	1217	2425	bag2	1.39	aves_odb10	0	0	0	0.2	99.8	8338	1	156981868	156981868	Galliformes	Gallus	Gallus gallus
P5_134	b2	Chordata	Aves	Gallus gallus	9031		133	150	150	50	150	2855240	379745631	3787	20972	2821697	46.55	633	545	1221	2432	bag3	1.39	aves_odb10	0	0	0	0.2	99.8	8338	1	157121564	157121564	Galliformes	Gallus	Gallus gallus
P5_145	b2	Arthropoda	Acari	Hypoaspis aculeifer	704012		131.12	150	150	50	150	2349974	308134798	684	11472	1013850	50.05	2171	995	142	315	bag1	1.06	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	2	35096940	17548470	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P5_145	b2	Arthropoda	Acari	Hypoaspis aculeifer	704012		131.12	150	150	50	150	2349974	308134798	3363	11472	3030816	47.9	861	595	873	1961	bag2	1.06	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	1	134246160	134246160	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P5_145	b2	Arthropoda	Acari	Hypoaspis aculeifer	704012		131.12	150	150	50	150	2349974	308134798	3447	11472	3158828	47.94	880	598	867	1988	bag3	1.06	arachnida_odb10	0.1	0.1	0	0.2	99.7	2934	1	138026048	138026048	Mesostigmata	Gaeolaelaps	Gaeolaelaps aculeifer
P5_162	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		121.04	150	132	50	150	2542017	307678561	15	15120	47278	39.85	6439	3148	3	5	bag1	4.43								1	7072833	7072833	Enchytraeida	Enchytraeus	Enchytraeus albidus
P5_162	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		121.04	150	132	50	150	2542017	307678561	2108	15120	2300551	38.88	1218	718	487	1116	bag2	4.43	metazoa_odb10	0	0	0	0	100	954	1	165617269	165617269	Enchytraeida	Enchytraeus	Enchytraeus albidus
P5_162	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		121.04	150	132	50	150	2542017	307678561	2209	15120	2546787	38.81	1362	751	483	1131	bag3	4.43	metazoa_odb10	0	0	0	0	100	954	1	174852668	174852668	Enchytraeida	Enchytraeus	Enchytraeus albidus
P5_170	b2						144.51	150	150	78	150	45	6503										0													
P5_190	b2	Chordata	Aves	Gallus gallus	9031		136.58	150	150	50	150	2332204	318540901	2234	17946	1884702	48.29	730	563	588	1342	bag1	1.49	aves_odb10	0	0	0	0.1	99.9	8338	1	86642649	86642649	Galliformes	Gallus	Gallus gallus
P5_190	b2	Chordata	Aves	Gallus gallus	9031		136.58	150	150	50	150	2332204	318540901	3106	17946	2399714	47.37	648	548	937	1957	bag2	1.49	aves_odb10	0	0	0	0.1	99.9	8338	1	133815209	133815209	Galliformes	Gallus	Gallus gallus
P5_190	b2	Chordata	Aves	Gallus gallus	9031		136.58	150	150	50	150	2332204	318540901	3121	17946	2410076	47.37	648	548	943	1967	bag3	1.49	aves_odb10	0	0	0	0.1	99.9	8338	1	133959228	133959228	Galliformes	Gallus	Gallus gallus
P5_192	b2						128.19	150	150	64	150	26	3333										7.14													
P5_198	b2	Annelida	Lumbricina	Aporrectodea caliginosa	302032		136.77	150	150	50	150	2224255	304221852	71	15028	117942	45.36	2096	1197	13	31	bag1	8.15	metazoa_odb10	0	0	0	0.1	99.9	954	1	6793983	6793983	Haplotaxida	Aporrectodea	Aporrectodea caliginosa L3
P5_198	b2	Annelida	Lumbricina	Aporrectodea caliginosa	302032		136.77	150	150	50	150	2224255	304221852	4012	15028	3755454	41.42	959	619	1052	2304	bag2	8.15	metazoa_odb10	0	0	0	0.1	99.9	954	1	172665842	172665842	Haplotaxida	Aporrectodea	Aporrectodea caliginosa L3
